filename,vendor,date,amount,ocr_text
0.jpg,Unknown,Unknown,28918.0,WALAMART ALWAYS Low PRICES_ Alwane SUPERCENTER OPEN 24 HOURS MANAGER TBA 515 986 1783 ST# 5748 OP# 00000158 TEIL14 TR# 03178 BANANAS  OOOOOOOO4011KF 0.41 Ib 0 1 Ib /0.49 0.20 FRAP 001200010451 5.48 N DISCOUNT GIVEN 57 SUBT8HNE ? 11 CASH TEND 88 CHANGE' DUE 13.8g # ITEMS SOLD 2 TCH5679 8348.6485.7828 2003 THANK VOU EOR SHOPPING WITH US NATHANIEL'BusH Your Back at Nalmart & Get 88/28918choo] st for Less. 13:12:01 Shop
1.jpg,Unknown,06-28-2014,75206.0,"TRADER JOE'$ 2001 Greenvi Ile Ave Da| Ias TX 75206 Store #403 (469) 334-0614 OPEN 8:OOAM TO 9:OOPM DAILY R-CARROTS  SHREDDED 10 0Z ERCUGDESEERUSFESTAU SAEE 8 TOMATOES   CRUSHED TOMAToES WHoLe_No S4LTOW/BASIL ORGANIC"" olo_EASHIONED OATMEAL 69 PG S#REDDEDOMGEqESELLA Lite ; EGessHREQ_edeGARIcREROHN! 8 8 BEANS ' GARBANZQ sproucebos 4ssyLEag 4ct 0 A-APPLE BAG JAZZ 2 LB A-PEPPER BELL  EACH_XL RED 98 GROCERY NON  TAXABLE 0,49 0,87 BANANAS' ORGANIC 3F4 Eo29EENut Butter 2.49 CREAMY SALTED 1.69 WHL' WHT  PITA_BREAD  ,38 GROCERY NON TAXABLE @ 0.69 838.68 SUBTOTAL 838.68 TOTAL 840 . 00 CASH 81,32 CHANGE ins Ryan ITEMS 22 12:34PM 0403 04 4398"" 4683 06-28-2014 THANK YOU FOR SHOPPING AT TRADER JOE'$ WWw traderjoes.COM"
10.jpg,Unknown,Unknown,4481240.0,"SPAR Te] 036-4481240 ela 1 bergsparetelkomsa , net VAT  No 4450102696 NLA REG  NO; KZN 032577 LAZENBY WORCESTER SAUCE   12SML 17,99 A MiLKy BAR CHOC 8OGR 16,99 SMOKED VIENNAS SOOGR 33,99 A PEALED PEACHES 40OG 82,.99 A MEDITERRANEAN MIX IKG 44,99 SPAR COOKING OiL 375ML 14,99 F/L EnGLiSH CUCUMB 1""$ 12,99 NESTLE AERO 85GR 20 ,99 CADBURY DAIRY MI BOGR 16,99 4 GRAPES  MIXED  TUB TUB 24,99 TASTIC RICE SOOGR 11,,99 BLACK CAT  SMOOTH 270GR 27,,99 CARRIER BAG 24L 1'$ 0,75 A BANANAS LOOSE 17KG 0,596kg 15,99 R /kg 9,53 TOTAL FOR 14 ITEMS 338 . 16 TENDERED Nedbank 338 . 16 TAX INVOICE VAT rate exc] TaX inc] 0,00k 119,48 0,00 119,48 15.00% 190 , 16 28,52 218,68 A SLIP TILL CASHIER DATe TIME 3780 005 101 23,02,21 16;17 CASHIER NAME: SWAZI Please Retain Slip Thank You For Shopping With Us! Fo] Iow us on Facebook : Spar Bergvi lle"
11.jpg,Unknown,Unknown,94135.0,"WHOLE FOODS fEnR Ai SHARON RD _ TORTILLA"" $ CAGE FREE ALL UHIT 3 . 69 BLack BEANS 29 Frozen Hangoes 160 99 Uho ] e Strauberries 2 . 99 0g LF coTTAGE CHEE 3 . 49 HAHi Mahi FILLETS 8 . 99 VC $2 of f (1 ) Uc Fi 00 - California Harvest 2.69 08 T6 99 [b TARE 0 | #WT PLUNS BLack cv 2. 15 ITEM 4040 NHP SLICED OVeN RO 3 , 99 NhP SLICED HICKORY 3 , 99 1 , 64 Tb 99 7b TARE 01 W [ GALA APPLES OG 3,26 ITEM 94135 Krkr Tax 93 BAL 45 . 44"
12.jpg,Unknown,Unknown,7007190.0,"WAL MART Save money. Live better. We SELL FOR LESS MANAGEr DapAVE SESSION 636 536 4601 CHESTERFIELD HQ_63005_ ST#2600 OPi' 00001855 TE  'TR# 03359 SU FIGURES 065356920144 6.63 X ToOTHBRUSH 003500055500 96 SUBTOTAL WOMEN SLIPPE 00972561,4790 9.86 SubTOTAL TAx } X00 35g01AL 8 0 18 HcARD' TEND 18 account #3546 APPRoval 7007190 Trans ID VALIdATION PayMent   SERVICE CHANGE   DUE 0.00 ITEMS SOLD 3 Tc# 9489 7094 6487 /3073/3651 dol-Hart excluelve Egales CD aval loble October 3oth! '10/20/07 13;48 ; 43 #**cUSTOHEr copyK**"
13.jpg,Unknown,Unknown,6139085.0,"I0 # M1 iswuybkcw Walmart Save money. Live better. 8443 21 0362 MANACIR MICHAEL KIGHPD 2014 $ [6Y M ORENCE S 255P sih U2/$ Cph WS 10 IV 49 IRh 0/142 Gii| CAI 08/48860413*} 50 ,OW SuDIUI A 50 . (V Tota 50.60 Casi| 60 . (U CIAMI F 10 . OC ""Stkch'  CAPL ACI IVATION E.0u ACCOUN |  613908546249/20/ N""pi: Codl 192086 RLI   H(RESTZ Dal Tvan   Ar ([ End Bial UQu Su UJ 50 . OQ 08/11[7 19: Ich Yr*1g 5843 ""28/ T0 1932 Kt Ices Yuu Cmi Wue Everv Day . (i 19 22:40 Sturer ecins 01 Yuu "" Fne Walma / Nen 49;31 ox"
14.jpg,Unknown,Unknown,8870090.0,"X"" See back of receipt for chance to win $1000 62 ID #: 7LORXAKBPJX ~"" 0*t' 3 Walmart Save money: Live better: 937 ) 644 2800 Hanasee-chrisfgssing ""9op1 555 coLexaNs_CROSSTNG Harystntie 0#ET %3""tRt 98890 STI 01695 @PHi007573 TEnz10 3.88 Equate LiNeR 068113196503 7. 48 VFis ENG Pom 0051000774 F 97 Daun ORIG 887009088# 1 F8v FGFAPE 8075353878 N LINT RoLLERz 005ii7iz3488 SubtotAL 1.25 70 tax 1 7.000 % totAL 76.60 1 DEBIT TEND 76.60 CHanGE ] DUE 0.00 'e EFT  DEBIT PayFROH PRIHARY' 26 . 60 TOTAL purchase ****] {371 5  Df. accounT Xrk* #**X RefvoRk 300030399@PPR CODE 868483 Riiet NETVORK ID _ TERMINAL #SCO10087 ODT? 05/04/17 19;54:16 4' Nip IteHS SOLD 6 Tc# 7635 0523 .2781.1061 368 05701/17 19:64:18 Store recelpts on your phone_ Valnart P ay - , { {. SM  . WJNy~ `' . aana hyicn ^~~03~d Your "";"
15.jpg,Unknown,Unknown,7603012.0,"[l6t 9f recelpt for Your Win s1000 pe} TJYYZJVOK3Y Walmart Save money. Live ol 714 799 ~18285 J;'4 hanager, 4E BLVQ WESTHS itznsbeA 7481 01626 Hiaaete8s t ""op* 0687733 Teme Ji subTodAL 2.8 jimo VISA 79E05 2.68 - ] VAga ##rt #rr #kt 3670  THT Reans 6862051 39884060 HakeAY GERvIEEL CeER E ~io AED #EZi #No ~Jot"" 07/22/16 20:63:11 change due 0,00 ITEMS SOLD 1 TCL 76030129 089 7649 116 You Can Trus= very '20;63;1 #X*cUSTOheR COPYxrt SavIngs Catcher Scan Ulth Walnart OPP 9tedv4 blov Asba; oy on  ' See back_ chance P ` ' "" ,^J {n1 ""ft 861 ~utn better. w ""TRI nic Defrovaedtt ""Bo6033073"" Lou Pr187/2z746"" Day."
16.jpg,Unknown,Unknown,7317004.0,See back of receipt for your  chance to win $1000 ID #: 7L2T9HJMZSF Walmart Save money. Live better. 701 223 3066 MANAGER TIM MORRIS 2717 ROCK ISLAND PL BISMARCK ND 58504 ST# 01534 OP# 009048 TE# 48 TR# 04455 6 WING PLATE 020108870398 3.98 ASST 21 063099656595 4.88 X CUTIE CAR 063099656644 12.88 SUBTOTAL 21.74 TAX 6.500 1.15 TAX 7.500 0.30 TOTAL 23.19 DEBIT TEND 23.19 CHANGE DUE 0.00 EFT DEBIT PAY FROM PRIMARY 23.19 TOTAL   PURCHASE US OEBIT KKii TX*x Tirx 2696 1 0 REF # 731700494718 NEIWORK Id 0081 APPR CODE 936886 IJS   DEBIT AID A0000000980840 TC 58B772390A583B44 #NO SIGNATURE REQUIRED TERMINAL # SC011090 11/13/17 12:34:04 ITEMS SOLD TC# 2188 7274 6444 1567 3762 Low Prices You Can Trust Every Day 11/13/17 12:34:11 Store receipts on vour phone Walmart P ay .
17.jpg,Unknown,Unknown,8849367.0,"See back recelpt For Your cheince r0 Uin k,8o0' Id 7KZGFISLZFF Walmart Save money: Live better_ 970 259 8755 Manager MIKE NEIDLINGER 1166 $ CaHINO dEL Rio durango Co_81303 02270 OP# 000i44 TEX 0z TR# 03080 sana833t 'Oooooooo4q11ki 76 16 Ib /0. 54 0.95 beveraGE pom 8031 {2o9373 3 88 1 STRUBRY CC 076471782200 96 CAHPARI ToH 073447501213 I 9 F KFT SINGLES 002100061626 1 44500982114 004450098211 98 hard SALAHI 020633960343 43 avocado 000000004O46KI FOR PILLS DFite 068113113619 Sh NYLON COL 007417024836 1 HanectrEeuer 884936788883 8 L SubToTAL 36 IaX 7.900 Tax 8 6. 000 i2 Tax 2.900 TotaL 38 , 68 Cash TEND 40. 68 chanGe due 2.00 ITeNS SOLd 16 TCR3041`7466 0669 7962 277 01/16/17 14;26 : 03"
